frame,timestamp,trunk_sagittal_tilt_deg,trunk_lateral_tilt_deg,pelvic_obliquity_deg,pelvic_tilt_sagittal_deg,pelvis_yaw_deg,shoulder_yaw_deg,pelvis_shoulder_dissociation_deg,hip_flex_R_deg,hip_flex_L_deg,knee_flex_R_deg,knee_flex_L_deg,ankle_dorsi_R_deg,ankle_dorsi_L_deg,hip_rotation_index_deg,shoulder_rotation_index_deg
41,1.3663,-7.2216,-178.3397,-175.5095,-63.3035,-175.5095,-178.3397,-2.8302,5.0274,5.5746,175.6688,179.9559,170.2048,177.5667,-0.5471,-2.8302
42,1.3996,-7.1972,-178.2927,-175.8368,-65.9322,-175.8368,-178.2927,-2.4559,6.5083,6.1805,174.5184,178.8078,170.5252,179.7523,0.3277,-2.4559
43,1.433,-7.053,-178.241,-175.8582,-67.6333,-175.8582,-178.241,-2.3828,8.9621,6.7098,171.1448,177.0825,168.6546,175.2717,2.2522,-2.3828
44,1.4663,-7.5009,-178.1454,-175.9213,-69.4011,-175.9213,-178.1454,-2.2241,10.249,7.6832,169.3234,177.362,167.3363,175.7568,2.5658,-2.2241
45,1.4996,-8.2213,-178.1646,-176.0581,-69.9386,-176.0581,-178.1646,-2.1065,10.2676,7.3033,168.5321,175.9398,165.0181,175.4071,2.9642,-2.1065
46,1.5329,-9.2829,-178.0493,-175.8058,-69.8195,-175.8058,-178.0493,-2.2435,8.5664,6.6544,168.7655,174.3546,163.0131,174.7604,1.9119,-2.2435
47,1.5663,-9.9262,-177.9546,-175.5578,-69.9482,-175.5578,-177.9546,-2.3967,6.6091,6.7043,170.8878,173.5914,167.3577,174.2061,-0.0953,-2.3967
48,1.5996,-10.6315,-177.869,-175.486,-71.0771,-175.486,-177.869,-2.383,4.1347,6.3194,173.6061,172.7802,171.9879,173.8375,-2.1847,-2.383
49,1.6329,-10.5844,-177.7284,-175.213,-70.1505,-175.213,-177.7284,-2.5154,2.9825,5.8036,175.0745,171.3303,173.9223,172.7754,-2.8211,-2.5154
50,1.6662,-10.8496,-177.6863,-175.1116,-70.6938,-175.1116,-177.6863,-2.5747,2.4013,5.5156,175.2418,170.5659,166.5897,171.9539,-3.1142,-2.5747
51,1.6996,-10.5579,-177.701,-175.3141,-70.1135,-175.3141,-177.701,-2.3869,2.3336,6.2885,175.8133,171.1325,163.1006,172.1631,-3.9548,-2.3869
52,1.7329,-9.8205,-177.6032,-175.5869,-68.0979,-175.5869,-177.6032,-2.0163,2.2335,7.3344,177.1051,172.0378,163.0398,174.0781,-5.1009,-2.0163
53,1.7662,-9.3099,-177.6054,-175.994,-66.9078,-175.994,-177.6054,-1.6114,0.2653,7.9477,179.2043,172.3092,164.1923,172.6422,-7.6825,-1.6114
54,1.7995,-8.8901,-177.5556,-176.0805,-66.8301,-176.0805,-177.5556,-1.4751,1.8505,8.3659,174.9832,172.9108,168.2581,173.0888,-6.5154,-1.4751
55,1.8329,-8.4853,-177.7715,-176.1921,-69.0341,-176.1921,-177.7715,-1.5794,2.949,8.3499,173.5557,172.3907,172.4388,168.2005,-5.4009,-1.5794
56,1.8662,-8.0094,-177.6764,-176.5738,-68.8621,-176.5738,-177.6764,-1.1026,3.2317,8.4335,173.3727,172.0145,176.1632,165.3092,-5.2018,-1.1026
57,1.8995,-7.5148,-177.7563,-176.5793,-68.7163,-176.5793,-177.7563,-1.177,2.8072,8.6292,174.594,172.0832,179.1062,165.0906,-5.822,-1.177
