side,stride_number,start_frame,end_frame,duration_s,trunk_sagittal_tilt_deg_mean,trunk_sagittal_tilt_deg_ROM,trunk_sagittal_tilt_deg_std,trunk_lateral_tilt_deg_mean,trunk_lateral_tilt_deg_ROM,trunk_lateral_tilt_deg_std,pelvic_obliquity_deg_mean,pelvic_obliquity_deg_ROM,pelvic_obliquity_deg_std,pelvic_tilt_sagittal_deg_mean,pelvic_tilt_sagittal_deg_ROM,pelvic_tilt_sagittal_deg_std,pelvis_yaw_deg_mean,pelvis_yaw_deg_ROM,pelvis_yaw_deg_std,shoulder_yaw_deg_mean,shoulder_yaw_deg_ROM,shoulder_yaw_deg_std,pelvis_shoulder_dissociation_deg_mean,pelvis_shoulder_dissociation_deg_ROM,pelvis_shoulder_dissociation_deg_std,hip_flex_R_deg_mean,hip_flex_R_deg_ROM,hip_flex_R_deg_std,hip_flex_L_deg_mean,hip_flex_L_deg_ROM,hip_flex_L_deg_std,knee_flex_R_deg_mean,knee_flex_R_deg_ROM,knee_flex_R_deg_std,knee_flex_L_deg_mean,knee_flex_L_deg_ROM,knee_flex_L_deg_std,ankle_dorsi_R_deg_mean,ankle_dorsi_R_deg_ROM,ankle_dorsi_R_deg_std,ankle_dorsi_L_deg_mean,ankle_dorsi_L_deg_ROM,ankle_dorsi_L_deg_std,hip_rotation_index_deg_mean,hip_rotation_index_deg_ROM,hip_rotation_index_deg_std,shoulder_rotation_index_deg_mean,shoulder_rotation_index_deg_ROM,shoulder_rotation_index_deg_std,trunk_sagittal_tilt_deg_at_midstance,trunk_lateral_tilt_deg_at_midstance,pelvic_obliquity_deg_at_midstance,pelvic_tilt_sagittal_deg_at_midstance,pelvis_yaw_deg_at_midstance,shoulder_yaw_deg_at_midstance,pelvis_shoulder_dissociation_deg_at_midstance,hip_flex_R_deg_at_midstance,hip_flex_L_deg_at_midstance,knee_flex_R_deg_at_midstance,knee_flex_L_deg_at_midstance,ankle_dorsi_R_deg_at_midstance,ankle_dorsi_L_deg_at_midstance,hip_rotation_index_deg_at_midstance,shoulder_rotation_index_deg_at_midstance
L,11,352,385,1.1,-0.5111,5.0961,1.3679,0.7763,1.6476,0.4772,0.6485,2.5117,0.8157,-28.5436,54.238,17.7952,0.6485,2.5117,0.8157,0.7763,1.6476,0.4772,0.1277,2.209,0.5554,6.055,7.4145,2.7548,7.0039,13.0391,3.4322,173.249,13.1833,4.7382,171.6144,10.3044,2.6051,156.7012,28.2941,11.1357,87.6114,108.5844,42.5755,0.0515,8.0917,2.9479,0.1277,2.209,0.5554,-0.0691,0.3709,-0.1704,-23.9989,-0.1704,0.3709,0.5414,,3.1857,,172.5376,,125.6846,,0.5414
L,12,385,412,0.9,-2.8818,6.2953,2.213,1.5055,2.0167,0.5654,1.4105,1.5444,0.5636,-35.9286,31.0133,9.3917,1.4105,1.5444,0.5636,1.5055,2.0167,0.5654,0.0949,1.3931,0.3525,5.4684,6.6517,2.4269,7.0394,13.1995,4.1484,174.3749,8.4598,2.9798,173.1388,14.4444,4.13,,,,99.778,119.1545,41.3644,-0.3306,2.628,0.9028,0.0949,1.3931,0.3525,-3.1911,1.0222,0.918,-28.8975,0.918,1.0222,0.1042,,3.7757,,175.0326,,145.027,,0.1042
L,13,412,453,1.3667,-2.275,6.771,2.076,1.8219,2.7125,0.8305,1.4351,2.3158,0.7801,-27.1116,32.9578,10.2276,1.4351,2.3158,0.7801,1.8219,2.7125,0.8305,0.3867,2.1243,0.6401,7.5853,12.9535,4.7886,6.8931,11.0962,3.3172,174.3249,10.5293,3.3149,171.0307,11.9356,3.2837,,,,143.2307,99.1932,28.1707,1.1697,6.0624,1.8544,0.3867,2.1243,0.6401,-0.3519,1.3449,1.3338,-37.9967,1.3338,1.3449,0.0111,0.6038,0.8928,167.6859,176.544,,150.443,-0.2889,0.0111
R,1,36,76,1.3333,-8.5665,4.0793,1.3269,-178.0631,1.2787,0.4054,-176.2718,1.7918,0.4624,-68.6188,5.4509,1.6606,-176.2718,1.7918,0.4624,-178.0631,1.2787,0.4054,-1.7913,1.5644,0.4898,4.1431,8.4145,2.4461,5.5631,7.4884,2.3632,174.5282,8.3374,2.18,172.8821,14.474,3.9978,173.3466,14.6803,4.8056,171.4027,14.7355,4.4771,-1.42,13.5189,4.1853,-1.7913,1.5644,0.4898,-6.9747,-178.7058,-176.5629,-68.6996,-176.5629,-178.7058,-2.143,6.83,1.6303,173.2731,168.836,175.4929,168.6358,5.1997,-2.143
R,2,76,112,1.2,-6.7167,3.0761,1.0933,-178.3815,0.9039,0.2431,-177.1227,1.2089,0.3125,-61.6641,14.8831,5.0332,-177.1227,1.2089,0.3125,-178.3815,0.9039,0.2431,-1.2589,1.2073,0.3711,3.7836,5.5946,1.9091,6.3858,8.384,2.8476,174.6597,8.7643,2.5378,173.289,13.1009,3.5191,174.913,10.3377,2.8208,170.6678,16.96,4.3553,-2.6023,13.9537,4.2893,-1.2589,1.2073,0.3711,-5.6382,-178.835,-177.3267,-62.0342,-177.3267,-178.835,-1.5082,6.4071,1.3347,174.4867,168.4077,176.226,162.3403,5.0724,-1.5082
R,3,112,177,2.1667,-8.0963,8.489,2.6931,-178.2755,4.5883,1.1569,-177.0914,3.1854,0.9229,-62.6187,15.517,3.9166,-177.0914,3.1854,0.9229,-178.2755,4.5883,1.1569,-1.1841,4.4354,0.9547,4.1427,8.2515,2.6207,3.8342,9.3026,3.0551,173.3309,9.6439,2.674,170.1571,19.936,4.9367,173.2012,16.1742,4.6389,164.9755,27.6714,5.9085,0.3085,17.378,4.7766,-1.1841,4.4354,0.9547,-5.8506,-179.1103,-178.2511,-58.0427,-178.2511,-179.1103,-0.8592,8.1914,0.4115,169.8034,169.9328,177.1068,159.8974,7.7799,-0.8592
R,4,177,210,1.1,-11.3617,4.5516,1.7015,-175.8835,2.7793,0.9125,-176.6498,1.0394,0.252,-64.4743,6.3041,1.8617,-176.6498,1.0394,0.252,-175.8835,2.7793,0.9125,0.7664,2.9144,0.8897,4.3683,6.4013,2.1069,2.8638,3.3265,1.1454,168.875,7.2254,2.6001,167.8559,3.2084,1.3969,165.5492,26.4726,10.5649,113.6447,23.9462,16.9325,1.4749,7.0836,2.6715,0.7664,2.9144,0.8897,-9.3824,-176.0053,-176.3295,-63.374,-176.3295,-176.0053,0.3242,4.8697,1.8229,169.7917,166.4194,,,3.0468,0.3242
R,5,210,223,0.4333,-10.4926,3.6457,1.109,-175.8566,1.3217,0.47,41.3869,416.4171,163.4273,-61.432,9.9237,2.9243,41.3869,416.4171,163.4273,-175.8566,1.3217,0.47,4.2949,2.8914,1.0326,,,,,,,,,,,,,,,,,,,,,,4.2949,2.8914,1.0326,-9.1374,-176.2747,106.9886,-61.3822,106.9886,-176.2747,4.5689,,,,,,,,4.5689
R,6,223,241,0.6,-15.6701,10.1346,3.1971,-120.7757,375.2804,113.0294,177.9495,2.7857,0.6548,-55.782,4.7215,1.4806,177.9495,2.7857,0.6548,-120.7757,375.2804,113.0294,4.2119,2.4924,0.5785,,,,,,,,,,,,,,,,,,,,,,4.2119,2.4924,0.5785,-13.5298,-178.0127,177.9617,-54.5031,177.9617,-178.0127,4.0256,,,,,,,,4.0256
R,7,241,289,1.6,-16.163,45.6084,12.9587,26.0583,199.3676,50.1743,28.2969,176.957,54.4649,-26.5047,85.7593,25.1881,28.2969,176.957,54.4649,26.0583,199.3676,50.1743,-3.34,46.8606,11.9502,,,,,,,,,,,,,,,,,,,,,,-3.34,46.8606,11.9502,-17.3333,1.9166,-0.456,-22.3048,-0.456,1.9166,2.3727,,,,,,,,2.3727
R,8,289,319,1.0,-1.9085,3.5335,1.1378,2.8226,2.3189,0.8262,1.4698,2.4267,0.7954,-33.6188,22.0623,6.4211,1.4698,2.4267,0.7954,2.8226,2.3189,0.8262,1.3528,2.6324,0.7555,,,,,,,,,,,,,,,,,,,,,,1.3528,2.6324,0.7555,-3.3726,3.8969,2.0641,-28.3051,2.0641,3.8969,1.8328,,,,,,,,1.8328
R,9,319,349,1.0,-1.4602,2.7701,1.0229,0.9844,3.0386,0.94,0.2137,3.4853,1.1166,-33.0953,17.4391,4.8172,0.2137,3.4853,1.1166,0.9844,3.0386,0.94,0.7707,3.4906,0.9662,,,,5.2595,7.4937,1.7912,,,,167.7379,2.6312,0.8184,,,,,,,,,,0.7707,3.4906,0.9662,-0.6292,2.7088,1.5075,-25.6442,1.5075,2.7088,1.2013,,,,,,,,1.2013
R,10,349,384,1.1667,-0.4888,5.0961,1.3277,0.7155,1.6069,0.4346,0.7295,2.7204,0.8575,-29.6385,54.238,17.7062,0.7295,2.7204,0.8575,0.7155,1.6069,0.4346,-0.014,2.516,0.7158,6.055,7.4145,2.7548,7.1874,11.7149,3.3196,173.249,13.1833,4.7382,171.6829,9.1922,2.2389,156.7012,28.2941,11.1357,85.553,108.5844,41.365,0.0515,8.0917,2.9479,-0.014,2.516,0.7158,-0.353,0.3869,1.9742,-40.1245,1.9742,0.3869,-1.5873,,11.7054,,168.7828,,,,-1.5873
R,11,384,421,1.2333,-3.5182,6.3154,2.3499,1.8898,2.1867,0.8263,1.5543,1.5842,0.5414,-32.8922,31.0133,9.8018,1.5543,1.5842,0.5414,1.8898,2.1867,0.8263,0.3354,1.8687,0.5411,6.3647,10.0856,2.9805,7.6911,13.1995,3.8697,174.7741,8.4598,2.8199,172.5518,14.4444,3.9446,,,,99.9045,119.1545,39.501,0.1562,5.0643,1.3825,0.3354,1.8687,0.5411,-0.7056,1.8351,1.7186,-31.4803,1.7186,1.8351,0.1165,,15.9612,,164.0027,,,,0.1165
R,12,421,451,1.0,-1.346,2.9305,0.9238,1.4904,2.0866,0.5851,1.3055,2.3158,0.8449,-27.2446,32.9578,11.1392,1.3055,2.3158,0.8449,1.4904,2.0866,0.5851,0.1849,1.9271,0.5904,6.8419,12.9535,4.8213,6.0983,11.0962,3.5323,174.0249,10.5293,3.5245,170.8372,11.9356,3.6974,,,,146.6442,99.1932,27.5232,0.9261,6.0624,1.9067,0.1849,1.9271,0.5904,-2.9254,2.539,2.3909,-31.2413,2.3909,2.539,0.1481,13.1696,8.6326,177.6637,170.1751,,83.9342,4.2228,0.1481
