frame,timestamp,hip_flex_L_deg,knee_flex_L_deg,ankle_dorsi_L_deg,hip_flex_R_deg,knee_flex_R_deg,ankle_dorsi_R_deg
8,0.2666,1.3551312910223032,172.82948777828136,5.850216856711711,1.6401798699784678,177.6646261973746,13.48651405189446
9,0.2999,2.8683710506959414,174.04264241863376,5.570707243666334,1.471944515727671,177.33055380585301,17.091245183153745
10,0.3332,4.425474912078926,175.50235025430177,5.3975094606024925,1.0854743597382566,176.79913047386646,20.47555014289884
11,0.3666,5.902254809800752,176.43993260177527,4.364922470046537,0.958835661249509,173.59008162215707,23.523404865552862
12,0.3999,7.359494638280182,177.59193299531347,2.2084946619253287,2.266774542094481,171.41880779011007,25.427391401468753
13,0.4332,8.0992484101738,178.12957645649828,1.223509691120654,3.546853657499639,169.08921230821915,27.68707086394423
14,0.4665,8.372110543292536,177.84819890124535,0.5698113695093525,4.48000153496838,167.50965420956874,28.621935535698952
15,0.4999,8.509539055574976,177.6074752297431,0.6269718995223457,4.606855273073791,167.34524573030268,27.513766004975878
16,0.5332,8.599605237976164,177.43750526177485,0.019210117897728196,4.176457518883922,168.8203742508893,24.196126698725806
17,0.5665,8.860720937830195,177.1749469044777,1.3809275645866137,3.2801619065754153,170.9166000464372,23.508859905036985
18,0.5998,9.268279361644204,177.0621964282637,2.1815961374339565,2.537459080996996,173.30648431772644,21.51008123753806
19,0.6332,9.497248006511768,176.5424144185291,3.3496294329699197,1.3765283186249349,176.1087190339023,20.512337602873885
20,0.6665,9.775220805893241,176.43704119278036,3.535682897867815,1.0359771332661012,177.8388821588981,20.691456961440082
21,0.6998,10.001847319444664,176.6882150073012,3.06243356132606,0.4041963247592548,179.6892714218771,18.552126375441674
22,0.7331,10.180891738924629,176.97084829932734,3.0119425939737425,0.5017015337004693,178.17486900504446,13.985844026728302
23,0.7665,10.199769298366505,176.94089711618585,2.927767337840919,0.7984957503136201,177.28916694846018,10.242604395995983
24,0.7998,10.154266580200328,176.93235120365352,2.9950576702055116,1.988637856474071,175.90444085283778,8.92728771256219
25,0.8331,10.098915783989185,176.83330191244613,3.4244821119087874,2.8024515198666933,175.0022851169593,8.458639236764668
26,0.8664,9.479369449269996,176.12324336530355,3.612484796929351,3.6251954905489896,174.30832752380675,8.038559379393888
27,0.8998,8.816858965862252,175.38748117521908,3.198334346125165,4.413735727030939,173.91315193764964,8.06226156018576
28,0.9331,8.012753251446895,174.25423799860036,3.2377309389724473,4.640777448359515,173.8879078721161,7.673456974259722
29,0.9664,7.086337835753966,172.82182553767402,3.782073900520146,4.036556185654334,175.3717700501983,8.238070903761695
30,0.9997,5.88814055529491,171.26726656666327,4.2741905214502935,3.965633184517543,176.4301862836921,8.913049576516443
31,1.0331,4.798251036872102,169.38020638571604,6.842812011320802,3.880205667704871,176.9196834370469,8.737077105374595
32,1.0664,4.641140210745448,170.6048967428189,9.69011911332396,4.078535358738748,176.9247907859787,9.09410401670712
33,1.0997,4.085616779974771,172.1290325368256,9.981650232267157,3.907303588969981,177.39464908360853,10.069533917131821
34,1.133,3.433630362450515,173.8882226855272,9.282584843686863,4.19219362787527,177.20013798940178,11.233463376911459
35,1.1664,3.1572438277403876,176.16090296169838,16.723919417443426,4.19949644022816,177.17142292906138,12.382749540933588
36,1.1997,3.7734010743126873,179.30624201292332,10.054403025593416,4.050453055708587,177.0212817517986,12.135235340850329
37,1.233,4.306614709121789,178.25189538948112,0.8836721080733696,2.3412832135663564,178.44623804210454,12.097453729690898
38,1.2663,5.55297103303684,176.27777761498857,3.431646751569616,0.09844625967224374,179.40848691484535,11.48784417477367
39,1.2997,6.438431698336558,175.99084162516345,3.759342639741675,1.9783422423640786,177.82442693766393,10.70023383888983
40,1.333,6.307606471974964,177.12076208687986,4.656152436967176,3.207616625694129,177.18820284251535,10.129288402818673
41,1.3663,5.57456814069559,179.95587850817287,2.4333404118545445,5.027440385858881,175.66882821421314,9.795208412259484
42,1.3996,6.180534590376283,178.80782728117978,0.2476909602922035,6.50827980127923,174.5184163787787,9.47478882859349
43,1.433,6.709836807756915,177.0824840075024,4.728260346466783,8.96208073253564,171.14481425447204,11.34544592494413
44,1.4663,7.683228710836147,177.36198625467557,4.243205472413138,10.24902078375601,169.3234067094106,12.663684016249618
45,1.4996,7.303322141066815,175.93982553851293,4.592949057769232,10.267562739190055,168.53212988681676,14.98190460964696
46,1.5329,6.654425046006509,174.35456033811107,5.239552769108087,8.566356204056433,168.7654796198501,16.98688249349101
47,1.5663,6.704332890433534,173.5914084503425,5.793905064500734,6.609078842757128,170.887781377658,12.64228554848384
48,1.5996,6.319402276752271,172.7801917465451,6.162484523261696,4.13467137373641,173.60611782942718,8.012135496277438
49,1.6329,5.803575495848065,171.3303193020293,7.224557836244912,2.9824615827845946,175.07448498367606,6.077724807275615
50,1.6662,5.515552333123537,170.56594216887652,8.04605624452185,2.4013192559725667,175.2418005774894,13.410342645758305
51,1.6996,6.28847143181838,171.1325088677509,7.836943188477022,2.3336464237635255,175.81331294541,16.899432463024937
52,1.7329,7.334378801416733,172.03783148698673,5.921900293538442,2.233492773571129,177.1051134653001,16.960190142666136
53,1.7662,7.947715313731351,172.30921049953398,7.35782257147568,0.2652563433759383,179.2043446531112,15.80774594567444
54,1.7995,8.365886124032613,172.91076778878897,6.911199424444675,1.8504507686701146,174.98322271232638,11.741931493251741
55,1.8329,8.349922591727818,172.39074372751224,11.799536570502823,2.948993915689769,173.55574819824275,7.561155094180975
