frame,timestamp,hip_center_x,hip_center_y,ankle_L_x,ankle_L_y,ankle_R_x,ankle_R_y,foot_index_L_x,foot_index_R_x
75,2.4994,0.6179,0.6226,0.6392,0.767,0.5858,0.7408,0.6366,0.5813
76,2.5327,0.6197,0.6228,0.6388,0.7682,0.5866,0.74,0.6367,0.58
77,2.566,0.6216,0.6232,0.6385,0.7681,0.5874,0.7402,0.6367,0.5802
78,2.5993,0.6239,0.6236,0.6383,0.7686,0.5882,0.7422,0.6367,0.5834
79,2.6327,0.6253,0.6236,0.6382,0.7679,0.5884,0.7488,0.6368,0.5866
80,2.666,0.6271,0.6234,0.638,0.768,0.5884,0.7592,0.6367,0.5887
81,2.6993,0.6283,0.6233,0.638,0.7688,0.589,0.7701,0.6366,0.589
82,2.7326,0.6293,0.6245,0.6379,0.769,0.5891,0.7763,0.6363,0.5883
83,2.766,0.6299,0.6272,0.6378,0.7693,0.5897,0.7823,0.6359,0.588
84,2.7993,0.6308,0.6286,0.6378,0.7696,0.5901,0.7862,0.6359,0.5878
85,2.8326,0.6312,0.6289,0.6378,0.7694,0.5902,0.7879,0.6353,0.589
86,2.8659,0.631,0.6297,0.6379,0.7695,0.5905,0.7913,0.6343,0.5896
87,2.8993,0.6308,0.6305,0.6387,0.7688,0.5912,0.791,0.6343,0.5919
88,2.9326,0.6306,0.6312,0.6387,0.7687,0.5913,0.7914,0.6343,0.594
89,2.9659,0.63,0.6318,0.6391,0.7676,0.5912,0.7923,0.6351,0.5945
90,2.9992,0.6293,0.6321,0.6391,0.767,0.5911,0.7936,0.6359,0.5944
91,3.0326,0.6284,0.632,0.6391,0.7663,0.5908,0.793,0.6359,0.5942
92,3.0659,0.6263,0.6323,0.6394,0.7645,0.5907,0.793,0.6358,0.5941
93,3.0992,0.6255,0.6343,0.6403,0.7634,0.5907,0.7939,0.6358,0.594
94,3.1325,0.6245,0.6344,0.6412,0.7635,0.5907,0.7941,0.6364,0.594
95,3.1659,0.6234,0.6358,0.6424,0.7646,0.5906,0.7942,0.6396,0.594
96,3.1992,0.6229,0.6368,0.6441,0.769,0.5906,0.794,0.6446,0.5938
97,3.2325,0.6226,0.6373,0.6458,0.7789,0.5909,0.7942,0.6485,0.5936
98,3.2658,0.6227,0.6383,0.6476,0.7865,0.5915,0.7947,0.6513,0.5935
99,3.2992,0.6228,0.6384,0.6483,0.7981,0.5923,0.7964,0.6531,0.5941
100,3.3325,0.6231,0.6386,0.6501,0.8029,0.5929,0.797,0.6527,0.5953
101,3.3658,0.6245,0.6411,0.6519,0.808,0.5935,0.7977,0.6524,0.5959
102,3.3991,0.6254,0.641,0.6538,0.8119,0.5937,0.7973,0.6528,0.5965
103,3.4325,0.627,0.6418,0.6556,0.816,0.5938,0.7976,0.6537,0.5971
104,3.4658,0.6292,0.6441,0.6569,0.8167,0.5942,0.7974,0.6538,0.5979
105,3.4991,0.6319,0.6443,0.6572,0.8173,0.5946,0.7983,0.6537,0.598
106,3.5324,0.6343,0.6453,0.6571,0.8169,0.5949,0.7968,0.6539,0.5975
107,3.5658,0.6365,0.6466,0.6573,0.818,0.5953,0.7944,0.6541,0.5962
108,3.5991,0.638,0.6478,0.6572,0.8183,0.5963,0.7926,0.654,0.5961
109,3.6324,0.64,0.6491,0.6575,0.8177,0.5967,0.7894,0.6545,0.5944
110,3.6657,0.6414,0.6497,0.6577,0.8183,0.5982,0.7899,0.6551,0.5935
111,3.6991,0.6429,0.6507,0.6577,0.819,0.5991,0.7953,0.655,0.5959
112,3.7324,0.6448,0.6507,0.6576,0.8204,0.5994,0.808,0.655,0.5981
113,3.7657,0.646,0.6508,0.6576,0.8201,0.5994,0.8158,0.6549,0.5989
114,3.799,0.6475,0.651,0.6575,0.8201,0.5995,0.8262,0.6549,0.5988
115,3.8324,0.6483,0.6532,0.6575,0.8199,0.5991,0.8331,0.6548,0.5979
116,3.8657,0.6483,0.6556,0.658,0.8195,0.5976,0.841,0.655,0.5972
117,3.899,0.6484,0.6565,0.6581,0.8204,0.5965,0.8474,0.655,0.5956
118,3.9323,0.6491,0.658,0.6581,0.8206,0.5958,0.8496,0.6548,0.595
119,3.9657,0.6491,0.66,0.6582,0.8204,0.5953,0.8547,0.6548,0.5941
120,3.999,0.649,0.6604,0.6583,0.8202,0.5952,0.8568,0.6556,0.5939
121,4.0323,0.6483,0.6631,0.6582,0.8201,0.5952,0.8557,0.656,0.5936
122,4.0656,0.6475,0.6631,0.6583,0.82,0.5949,0.8575,0.6564,0.593
123,4.099,0.6459,0.6643,0.6582,0.8199,0.5949,0.8586,0.6564,0.5926
124,4.1323,0.6438,0.6655,0.6585,0.8196,0.5949,0.8584,0.6564,0.593
125,4.1656,0.642,0.6648,0.6599,0.8182,0.5949,0.8593,0.6572,0.5933
126,4.1989,0.6405,0.6644,0.6609,0.8182,0.5951,0.8598,0.6582,0.5933
127,4.2323,0.639,0.6654,0.6621,0.8218,0.5951,0.8605,0.662,0.5934
128,4.2656,0.6375,0.6666,0.6646,0.8283,0.5953,0.8598,0.668,0.5933
129,4.2989,0.6363,0.6668,0.6672,0.8399,0.5953,0.86,0.6744,0.5933
130,4.3322,0.6362,0.6676,0.671,0.8504,0.5962,0.8594,0.6781,0.5934
131,4.3656,0.6363,0.669,0.6731,0.864,0.5967,0.8603,0.6837,0.5935
132,4.3989,0.6366,0.6695,0.6752,0.8761,0.5971,0.862,0.6854,0.5936
133,4.4322,0.6374,0.6722,0.6788,0.8858,0.598,0.8627,0.6854,0.5935
134,4.4655,0.6386,0.6735,0.6812,0.8924,0.5984,0.8626,0.6851,0.5933
135,4.4989,0.6398,0.6765,0.682,0.8956,0.5985,0.8627,0.6854,0.5934
136,4.5322,0.6412,0.6778,0.6841,0.8963,0.5991,0.8629,0.6845,0.5936
137,4.5655,0.6437,0.6796,0.6851,0.8988,0.5991,0.8628,0.6838,0.5935
138,4.5988,0.6469,0.6808,0.6849,0.8984,0.5993,0.8598,0.6848,0.5911
139,4.6322,0.6499,0.683,0.6848,0.8997,0.5996,0.8571,0.6852,0.5891
140,4.6655,0.6529,0.6848,0.6851,0.8996,0.5997,0.8552,0.6859,0.5887
141,4.6988,0.6566,0.6857,0.6852,0.9001,0.6004,0.8525,0.6861,0.5882
142,4.7321,0.6596,0.6858,0.6849,0.902,0.6017,0.8516,0.6859,0.5882
143,4.7655,0.6628,0.6864,0.6849,0.9026,0.6029,0.8539,0.6857,0.5908
144,4.7988,0.6645,0.6869,0.6849,0.9025,0.6054,0.8668,0.6858,0.594
145,4.8321,0.6659,0.6889,0.685,0.903,0.6073,0.8862,0.6857,0.5989
